Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,24589.349447505385,25763.435459648554,50352.78490715394
10,0.005,98837.9185555194,175.07245893678115,99012.99101445617
20,0.01,98949.58747932356,63.60710205939698,99013.19458138295
30,0.015,99004.94994893033,8.264779846907414,99013.21472877724
40,0.02,99022.4318266105,-9.235326190365821,99013.19650042013
50,0.025,99027.52455659468,-14.495780721639228,99013.02877587304
60,0.03,99029.26684830339,-15.991600997858107,99013.27524730553
70,0.035,99028.81116859711,-15.493444430801977,99013.3177241663
80,0.04,99027.14620677895,-13.817368619906766,99013.32883815905
90,0.045,99023.26107547362,-9.930299653492552,99013.33077582013
100,0.05,99018.44627565386,-5.096059372573551,99013.35021628128
110,0.055,99015.86063951161,-2.4971681674440704,99013.36347134416
120,0.06,99018.37220443049,-5.044460817242925,99013.32774361325
130,0.065,99017.76736397497,-4.1322305231217555,99013.63513345185
140,0.07,98958.98826731431,41.06571867612936,99000.05398599044
150,0.075,99028.55931443792,-15.713376924598764,99012.84593751332
160,0.08,99027.7480881775,-14.885426201743805,99012.86266197576
170,0.085,99023.2238039253,-10.34883621361354,99012.87496771169
180,0.09,98826.98591903508,157.23264340038378,98984.21856243546
190,0.095,98899.79881516799,112.0173805222169,99011.8161956902
200,0.1,98899.92447949786,112.39726743559254,99012.32174693345
210,0.105,98814.72048999452,158.55602388843596,98973.27651388296
220,0.11,99013.53338263086,-9.806949928543993,99003.72643270231
230,0.115,99011.22658873902,-7.520839343233014,99003.7057493958
240,0.12,99008.61755628127,-4.877352682704052,99003.74020359857
250,0.125,99006.85089806863,-3.130648743196775,99003.72024932543
260,0.13,99006.0584305397,-2.3317087885236627,99003.72672175118
270,0.135,99005.8581032408,-2.1339499480284476,99003.72415329277
280,0.14,99007.5921691426,-3.867942809694296,99003.72422633291
290,0.145,99009.74850435717,-5.994519307884396,99003.75398504928
300,0.15,99010.25874467612,-6.466791095956016,99003.79195358016
310,0.155,99011.43581009578,-7.64350446807121,99003.7923056277
320,0.16,98979.49578258669,25.70542482495919,99005.20120741165
330,0.165,99014.85784857866,-11.1749925246373,99003.68285605402
340,0.17,99013.73396958991,-9.976726944165382,99003.75724264575
350,0.17500000000000002,99012.91371784068,-9.135397738418614,99003.77832010227
360,0.18,99013.00619775242,-9.195134966238033,99003.81106278618
370,0.185,99013.93697574938,-10.122855660587838,99003.81412008879
380,0.19,98937.93149101612,64.29966562467989,99002.2311566408
390,0.195,98579.20295131777,426.57423592547786,99005.77718724325
400,0.2,98988.63147793896,14.734397260855374,99003.36587519982
