Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy,Temperature,Pressure,Phase,Max_Cluster_Size,Avg_Cluster_Size
0,0.0,2176.9868420841526,-4.294116188040592,2172.692725896112,24.18874268982392,0.4280116470199033,GAS,2,1.0909090909090908
10,0.005,2114.454671329832,-4.195287782533827,2110.259383547298,23.493940792553687,0.4157783378226287,GAS,2,1.0909090909090908
20,0.01,2054.972793361179,-4.101819878287098,2050.8709734828917,22.833031037346434,0.4041460866178996,GAS,2,1.0909090909090908
30,0.015,1998.4184135924802,-4.011776763612663,1994.4066368288675,22.204649039916447,0.39306872096148604,GAS,2,1.0909090909090908
40,0.02,1944.6644208450377,-3.9579487956884,1940.7064720493493,21.607382453833754,0.38248646977124545,GAS,2,1.0909090909090908
50,0.025,1893.5796167826732,-3.946228154647968,1889.6333886280252,21.03977351980748,0.37236459422223506,GAS,2,1.0909090909090908
60,0.03,1845.0283164887846,-3.974479795091665,1841.053836693693,20.50031462765316,0.36268183817568245,GAS,2,1.0909090909090908
70,0.035,1798.8742051300515,-4.023719355627168,1794.8504857744242,19.98749116811168,0.3534335323631228,GAS,2,1.0909090909090908
80,0.04,1754.9848188809872,-4.078356027685867,1750.9064628533013,19.499831320899858,0.34461640563752205,GAS,2,1.0909090909090908
90,0.045,1713.23676505195,-4.111466362735981,1709.125298689214,19.035964056132777,0.3362346610814795,GAS,2,1.0909090909090908
100,0.05,1673.5167320812898,-4.152139753410149,1669.3645923278796,18.594630356458776,0.3282582552118224,GAS,2,1.0909090909090908
110,0.055,1635.7214768115837,-4.174589107625928,1631.5468877039577,18.174683075684264,0.32068775639926206,GAS,2,1.0909090909090908
120,0.06,1599.7574822549466,-4.163768063572599,1595.593714191374,17.775083136166074,0.31351598545173004,GAS,2,1.0909090909090908
130,0.065,1565.5369300200634,-4.150267876788193,1561.3866621432753,17.394854778000706,0.30670756393596066,GAS,2,1.0909090909090908
140,0.07,1532.9782826555213,-4.1215152673686575,1528.8567673881525,17.03309202950579,0.30025237112701036,GAS,2,1.0909090909090908
150,0.075,1502.004348055949,-4.089360582864402,1497.9149874730847,16.688937200621655,0.29412602104005814,GAS,2,1.1111111111111112
160,0.08,1472.5409204500327,-4.057138361156136,1468.4837820888765,16.36156578277814,0.2883095707533137,GAS,2,1.1111111111111112
170,0.085,1444.5172463219017,-4.040487956244521,1440.4767583656571,16.050191625798906,0.2827776185305474,GAS,2,1.1111111111111112
180,0.09,1417.8654494376156,-4.009364703852775,1413.8560847337628,15.754060549306839,0.27753254939433386,GAS,2,1.1111111111111112
190,0.095,1392.520678603553,-3.9659994488335437,1388.5546791547195,15.472451984483923,0.27255861465326403,GAS,2,1.1111111111111112
200,0.1,1368.4204234212,-3.9445162632893846,1364.4759071579106,15.204671371346667,0.267822019014093,GAS,2,1.1320754716981132
210,0.105,1345.504139118424,-3.9288720271704225,1341.5752670912536,14.950045990204712,0.2633192454162521,GAS,2,1.1320754716981132
220,0.11,1323.715095310045,-3.936548595728849,1319.778546714316,14.707945503444943,0.25902799356084755,GAS,2,1.1320754716981132
230,0.115,1302.9983142941492,-3.9350808230110257,1299.0632334711381,14.477759047712768,0.25495599355885157,GAS,2,1.1320754716981132
240,0.12,1283.3016604997954,-3.941063767881972,1279.3605967319133,14.258907338886615,0.2510827605997784,GAS,2,1.1320754716981132
250,0.125,1264.575636580189,-3.9347332183021297,1260.6409033618868,14.050840406446545,0.24740994670884636,GAS,2,1.1320754716981132
260,0.13,1246.7733275592846,-3.9607681359205786,1242.812559423364,13.85303697288094,0.24390179251867644,GAS,2,1.1320754716981132
