x,y
-1.000000000000000000e+01,8.390715290764523715e+00
-9.900000000000000355e+00,8.802992410991071992e+00
-9.800000000000000711e+00,9.118177466626582017e+00
-9.700000000000001066e+00,9.334939334363705044e+00
-9.600000000000001421e+00,9.453003415623618011e+00
-9.500000000000001776e+00,9.473135483865595674e+00
-9.400000000000002132e+00,9.397114595130943826e+00
-9.300000000000002487e+00,9.227695526709217333e+00
-9.200000000000002842e+00,8.968561316918314930e+00
-9.100000000000003197e+00,8.624266579393131238e+00
-9.000000000000003553e+00,8.200172356962109887e+00
-8.900000000000003908e+00,7.702373362245918287e+00
-8.800000000000004263e+00,7.137618523742593979e+00
-8.700000000000004619e+00,6.513225816697403303e+00
-8.600000000000004974e+00,5.836992406952143497e+00
-8.500000000000005329e+00,5.117101172821040045e+00
-8.400000000000005684e+00,4.362024694580200368e+00
-8.300000000000006040e+00,3.580427813256195080e+00
-8.200000000000006395e+00,2.781069860067500343e+00
-8.100000000000006750e+00,1.972707645259965670e+00
-8.000000000000007105e+00,1.164000270468965592e+00
-7.900000000000007461e+00,3.634167925523983378e-01
-7.800000000000007816e+00,-4.208522803886062258e-01
-7.700000000000008171e+00,-1.180978737691495750e+00
-7.600000000000008527e+00,-1.909574803625080586e+00
-7.500000000000008882e+00,-2.599764883762634149e+00
-7.400000000000009237e+00,-3.245250224050433729e+00
-7.300000000000009592e+00,-3.840365876882013030e+00
-7.200000000000009948e+00,-4.380129464632182668e+00
-7.100000000000010303e+00,-4.860281331743879107e+00
-7.000000000000010658e+00,-5.277315780403091239e+00
-6.900000000000011013e+00,-5.628503190864928563e+00
-6.800000000000011369e+00,-5.911902934378782781e+00
-6.700000000000011724e+00,-6.126367093176619427e+00
-6.600000000000012079e+00,-6.271535106926281244e+00
-6.500000000000012434e+00,-6.347819567232147797e+00
-6.400000000000012790e+00,-6.356383480052436141e+00
-6.300000000000013145e+00,-6.299109409215526867e+00
-6.200000000000013500e+00,-6.178561001543968700e+00
-6.100000000000013856e+00,-5.997937474499795307e+00
-6.000000000000014211e+00,-5.761021719902233329e+00
-5.900000000000014566e+00,-5.472122741389856770e+00
-5.800000000000014921e+00,-5.136013198259703927e+00
-5.700000000000015277e+00,-4.757862873583270868e+00
-5.600000000000015632e+00,-4.343168919657466098e+00
-5.500000000000015987e+00,-3.897683758602003667e+00
-5.400000000000016342e+00,-3.427341530090304289e+00
-5.300000000000016698e+00,-2.938183981749636242e+00
-5.200000000000017053e+00,-2.436286690762046625e+00
-5.100000000000017408e+00,-1.927686487836289597e+00
-5.000000000000017764e+00,-1.418310927316221548e+00
-4.900000000000018119e+00,-9.139106101707100693e-01
-4.800000000000018474e+00,-4.199951205094334394e-01
-4.700000000000018829e+00,5.822671827549820434e-02
-4.600000000000019185e+00,5.159016239011652294e-01
-4.500000000000019540e+00,9.485810974384267791e-01
-4.400000000000019895e+00,1.352264627904969485e+00
-4.300000000000020250e+00,1.723436439943822229e+00
-4.200000000000020606e+00,2.059095449630872654e+00
-4.100000000000020961e+00,2.356778180786344379e+00
-4.000000000000021316e+00,2.614574483454396692e+00
-3.900000000000021672e+00,2.831135986380504121e+00
-3.800000000000022027e+00,3.005677305274749411e+00
-3.700000000000022382e+00,3.137970117328485298e+00
-3.600000000000022737e+00,3.228330298802913667e+00
-3.500000000000023093e+00,3.277598405517780478e+00
-3.400000000000023448e+00,3.287113854770169485e+00
-3.300000000000023803e+00,3.258683240699264960e+00
-3.200000000000024158e+00,3.194543282543229612e+00
-3.100000000000024514e+00,3.097318965847193795e+00
-3.000000000000024869e+00,2.969977489801371551e+00
-2.900000000000025224e+00,2.815778678933854362e+00
-2.800000000000025580e+00,2.638222553872290987e+00
-2.700000000000025935e+00,2.440994783446118532e+00
-2.600000000000026290e+00,2.227910758759320320e+00
-2.500000000000026645e+00,2.002859038867395469e+00
-2.400000000000027001e+00,1.769744917299052922e+00
-2.300000000000027356e+00,1.532434848943660999e+00
-2.200000000000027711e+00,1.294702457961826259e+00
-2.100000000000028066e+00,1.060176819659765624e+00
-2.000000000000028422e+00,8.322936730943483186e-01
-1.900000000000028777e+00,6.142501770407176043e-01
-1.800000000000029132e+00,4.089637704476143942e-01
-1.700000000000029488e+00,2.190356403024454612e-01
-1.600000000000029843e+00,4.671923568211056033e-02
-1.500000000000030198e+00,-1.061058025015113176e-01
-1.400000000000030553e+00,-2.379540000603003747e-01
-1.300000000000030909e+00,-3.477484772119331935e-01
-1.200000000000031264e+00,-4.348293053719846091e-01
-1.100000000000031619e+00,-4.989557335681185091e-01
-1.000000000000031974e+00,-5.403023058681301061e-01
-9.000000000000323297e-01,-5.594489714435952887e-01
-8.000000000000326850e-01,-5.573653674777363509e-01
-7.000000000000330402e-01,-5.353895310991523271e-01
-6.000000000000333955e-01,-4.952013689458232282e-01
-5.000000000000337508e-01,-4.387912809452079177e-01
-4.000000000000341061e-01,-3.684243976011801203e-01
-3.000000000000344613e-01,-2.866009467377116926e-01
-2.000000000000348166e-01,-1.960133155682810824e-01
-1.000000000000351719e-01,-9.950041652783722657e-02
-3.552713678800500929e-14,-3.552713678800500929e-14
9.999999999996411759e-02,9.950041652776724088e-02
1.999999999999637623e-01,1.960133155682142470e-01
2.999999999999634070e-01,2.866009467376500752e-01
3.999999999999630518e-01,3.684243976011257193e-01
4.999999999999626965e-01,4.387912809451625651e-01
5.999999999999623412e-01,4.952013689457886447e-01
6.999999999999619860e-01,5.353895310991300116e-01
7.999999999999616307e-01,5.573653674777275802e-01
8.999999999999612754e-01,5.594489714436012839e-01
9.999999999999609201e-01,5.403023058681515334e-01
1.099999999999960565e+00,4.989557335681558681e-01
1.199999999999960210e+00,4.348293053720383439e-01
1.299999999999959854e+00,3.477484772120031931e-01
1.399999999999959499e+00,2.379540000603862782e-01
1.499999999999959144e+00,1.061058025016126116e-01
1.599999999999958789e+00,-4.671923568199484733e-02
1.699999999999958433e+00,-2.190356403023165643e-01
1.799999999999958078e+00,-4.089637704474736735e-01
1.899999999999957723e+00,-6.142501770405668360e-01
1.999999999999957367e+00,-8.322936730941894456e-01
2.099999999999957012e+00,-1.060176819659601088e+00
2.199999999999956657e+00,-1.294702457961657949e+00
2.299999999999956302e+00,-1.532434848943491579e+00
2.399999999999955946e+00,-1.769744917298885278e+00
2.499999999999955591e+00,-2.002859038867232488e+00
2.599999999999955236e+00,-2.227910758759164445e+00
2.699999999999954881e+00,-2.440994783445972427e+00
2.799999999999954525e+00,-2.638222553872157317e+00
2.899999999999954170e+00,-2.815778678933736234e+00
2.999999999999953815e+00,-2.969977489801271187e+00
3.099999999999953459e+00,-3.097318965847113859e+00
3.199999999999953104e+00,-3.194543282543171880e+00
3.299999999999952749e+00,-3.258683240699232098e+00
3.399999999999952394e+00,-3.287113854770162824e+00
3.499999999999952038e+00,-3.277598405517801350e+00
3.599999999999951683e+00,-3.228330298802962961e+00
3.699999999999951328e+00,-3.137970117328564346e+00
3.799999999999950973e+00,-3.005677305274858657e+00
3.899999999999950617e+00,-2.831135986380643121e+00
3.999999999999950262e+00,-2.614574483454565890e+00
4.099999999999949907e+00,-2.356778180786541999e+00
4.199999999999949551e+00,-2.059095449631098251e+00
4.299999999999949196e+00,-1.723436439944073584e+00
4.399999999999948841e+00,-1.352264627905245042e+00
4.499999999999948486e+00,-9.485810974387244299e-01
4.599999999999948130e+00,-5.159016239014820870e-01
4.699999999999947775e+00,-5.822671827583125737e-02
4.799999999999947420e+00,4.199951205090874939e-01
4.899999999999947065e+00,9.139106101703546869e-01
4.999999999999946709e+00,1.418310927315860726e+00
5.099999999999946354e+00,1.927686487835927220e+00
5.199999999999945999e+00,2.436286690761686913e+00
5.299999999999945643e+00,2.938183981749283191e+00
5.399999999999945288e+00,3.427341530089962340e+00
5.499999999999944933e+00,3.897683758601677262e+00
5.599999999999944578e+00,4.343168919657160565e+00
5.699999999999944222e+00,4.757862873582988428e+00
5.799999999999943867e+00,5.136013198259449020e+00
5.899999999999943512e+00,5.472122741389633838e+00
5.999999999999943157e+00,5.761021719902045923e+00
6.099999999999944578e+00,5.997937474499649646e+00
6.199999999999942446e+00,6.178561001543861231e+00
6.299999999999940314e+00,6.299109409215462030e+00
6.399999999999941735e+00,6.356383480052418378e+00
6.499999999999943157e+00,6.347819567232176219e+00
6.599999999999941025e+00,6.271535106926359404e+00
6.699999999999938893e+00,6.126367093176749989e+00
6.799999999999940314e+00,5.911902934378960417e+00
6.899999999999941735e+00,5.628503190865148831e+00
6.999999999999939604e+00,5.277315780403364798e+00
7.099999999999937472e+00,4.860281331744205957e+00
7.199999999999938893e+00,4.380129464632545933e+00
7.299999999999940314e+00,3.840365876882406937e+00
7.399999999999938183e+00,3.245250224050874710e+00
7.499999999999936051e+00,2.599764883763121315e+00
7.599999999999937472e+00,1.909574803625585293e+00
7.699999999999938893e+00,1.180978737692012448e+00
7.799999999999936762e+00,4.208522803891557862e-01
7.899999999999934630e+00,-3.634167925518201891e-01
7.999999999999936051e+00,-1.164000270468392717e+00
8.099999999999937472e+00,-1.972707645259404341e+00
8.199999999999935341e+00,-2.781069860066927912e+00
8.299999999999933209e+00,-3.580427813255618208e+00
8.399999999999934630e+00,-4.362024694579653250e+00
8.499999999999936051e+00,-5.117101172820528454e+00
8.599999999999933920e+00,-5.836992406951647006e+00
8.699999999999931788e+00,-6.513225816696928128e+00
8.799999999999933209e+00,-7.137618523742171206e+00
8.899999999999934630e+00,-7.702373362245549693e+00
8.999999999999932498e+00,-8.200172356961781261e+00
9.099999999999930367e+00,-8.624266579392850574e+00
9.199999999999931788e+00,-8.968561316918099990e+00
9.299999999999933209e+00,-9.227695526709068119e+00
9.399999999999931077e+00,-9.397114595130856785e+00
9.499999999999928946e+00,-9.473135483865574358e+00
9.599999999999930367e+00,-9.453003415623665973e+00
9.699999999999931788e+00,-9.334939334363822283e+00
9.799999999999929656e+00,-9.118177466626772087e+00
9.899999999999927525e+00,-8.802992410991338446e+00
9.999999999999928946e+00,-8.390715290764850565e+00
